NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
LTE2_UP.V1_UP	LTE2_UP.V1_UP		186	0.21201837	0.9357544	0.576659	0.87291473	1.0	2610	tags=23%, list=15%, signal=26%	
TBK1.DN.48HRS_UP	TBK1.DN.48HRS_UP		50	0.23604678	0.93381923	0.5734407	0.8615578	1.0	3257	tags=30%, list=19%, signal=37%	
HOXA9_DN.V1_DN	HOXA9_DN.V1_DN		186	0.21433523	0.9299615	0.53252035	0.8563109	1.0	1999	tags=18%, list=12%, signal=20%	
KRAS.50_UP.V1_DN	KRAS.50_UP.V1_DN		41	0.26610193	0.92253804	0.5769231	0.8606102	1.0	2930	tags=32%, list=17%, signal=38%	
PRC2_EZH2_UP.V1_UP	PRC2_EZH2_UP.V1_UP		185	0.20918377	0.90893734	0.6081371	0.8800388	1.0	3096	tags=25%, list=18%, signal=30%	
ALK_DN.V1_DN	ALK_DN.V1_DN		115	0.21296643	0.900952	0.6526316	0.88554084	1.0	2023	tags=19%, list=12%, signal=22%	
TBK1.DN.48HRS_DN	TBK1.DN.48HRS_DN		50	0.24373324	0.90014046	0.5983437	0.8722169	1.0	2186	tags=24%, list=13%, signal=27%	
ERBB2_UP.V1_DN	ERBB2_UP.V1_DN		197	0.2521824	0.89525336	0.5772532	0.8703044	1.0	4485	tags=37%, list=26%, signal=50%	
KRAS.600.LUNG.BREAST_UP.V1_UP	KRAS.600.LUNG.BREAST_UP.V1_UP		228	0.20216013	0.893536	0.64	0.8607134	1.0	2243	tags=20%, list=13%, signal=22%	
CYCLIN_D1_KE_.V1_DN	CYCLIN_D1_KE_.V1_DN		167	0.2124881	0.8726453	0.68421054	0.90054256	1.0	3135	tags=28%, list=19%, signal=34%	
BCAT_GDS748_UP	BCAT_GDS748_UP		45	0.22341354	0.8513498	0.6818182	0.94129837	1.0	2887	tags=29%, list=17%, signal=35%	
CAHOY_OLIGODENDROCUTIC	CAHOY_OLIGODENDROCUTIC		94	0.1898679	0.84114194	0.7651992	0.9528605	1.0	2927	tags=26%, list=17%, signal=31%	
AKT_UP.V1_UP	AKT_UP.V1_UP		160	0.20475349	0.83480406	0.68992245	0.95369154	1.0	2063	tags=19%, list=12%, signal=21%	
CRX_DN.V1_DN	CRX_DN.V1_DN		123	0.18894492	0.8329766	0.7819706	0.9435245	1.0	3229	tags=24%, list=19%, signal=29%	
RELA_DN.V1_DN	RELA_DN.V1_DN		118	0.19089945	0.83211064	0.82646424	0.9311917	1.0	3619	tags=31%, list=21%, signal=39%	
STK33_NOMO_DN	STK33_NOMO_DN		269	0.17272218	0.8153331	0.8545861	0.9562691	1.0	2307	tags=19%, list=14%, signal=21%	
KRAS.DF.V1_UP	KRAS.DF.V1_UP		191	0.17476888	0.80403423	0.8051392	0.9665283	1.0	3627	tags=26%, list=21%, signal=33%	
AKT_UP_MTOR_DN.V1_UP	AKT_UP_MTOR_DN.V1_UP		169	0.18034479	0.7941527	0.8497942	0.9739873	1.0	2188	tags=18%, list=13%, signal=20%	
EGFR_UP.V1_DN	EGFR_UP.V1_DN		192	0.17638296	0.78154206	0.8888889	0.98658687	1.0	2882	tags=22%, list=17%, signal=27%	
GCNP_SHH_UP_LATE.V1_UP	GCNP_SHH_UP_LATE.V1_UP		177	0.19289418	0.76924056	0.74793386	0.99581	1.0	4352	tags=34%, list=26%, signal=45%	
P53_DN.V2_UP	P53_DN.V2_UP		119	0.19156802	0.7688689	0.8482906	0.9825944	1.0	4024	tags=36%, list=24%, signal=47%	
BMI1_DN_MEL18_DN.V1_DN	BMI1_DN_MEL18_DN.V1_DN		142	0.19149528	0.76639736	0.82819384	0.9733873	1.0	1608	tags=14%, list=9%, signal=15%	
MEK_UP.V1_DN	MEK_UP.V1_DN		189	0.19099066	0.7567606	0.8286334	0.97624606	1.0	4194	tags=32%, list=25%, signal=42%	
IL15_UP.V1_UP	IL15_UP.V1_UP		166	0.16578883	0.720984	0.9296875	1.0	1.0	4340	tags=33%, list=26%, signal=43%	
ATF2_UP.V1_DN	ATF2_UP.V1_DN		179	0.17531106	0.71903354	0.8954918	1.0	1.0	3265	tags=25%, list=19%, signal=31%	
MEL18_DN.V1_DN	MEL18_DN.V1_DN		143	0.1733069	0.71350276	0.8995727	0.99893004	1.0	2224	tags=16%, list=13%, signal=18%	
IL15_UP.V1_DN	IL15_UP.V1_DN		154	0.1652924	0.7057487	0.94273126	0.99564636	1.0	3690	tags=27%, list=22%, signal=34%	
RAPA_EARLY_UP.V1_DN	RAPA_EARLY_UP.V1_DN		167	0.15773766	0.70551276	0.9647059	0.9833039	1.0	4165	tags=31%, list=25%, signal=40%	
CAHOY_ASTROGLIAL	CAHOY_ASTROGLIAL		97	0.17758246	0.69998133	0.87344396	0.9768772	1.0	2856	tags=22%, list=17%, signal=26%	
MTOR_UP.N4.V1_DN	MTOR_UP.N4.V1_DN		181	0.18536447	0.6891044	0.8695652	0.9761873	1.0	2719	tags=21%, list=16%, signal=25%	
E2F1_UP.V1_UP	E2F1_UP.V1_UP		184	0.16186965	0.67731154	0.9092702	0.97559124	1.0	1962	tags=15%, list=12%, signal=17%	
CSR_LATE_UP.V1_DN	CSR_LATE_UP.V1_DN		145	0.15299717	0.6568232	0.97556007	0.9802711	1.0	2622	tags=17%, list=15%, signal=20%	
PGF_UP.V1_UP	PGF_UP.V1_UP		188	0.1974846	0.6544279	0.7907489	0.9703661	1.0	3386	tags=24%, list=20%, signal=30%	
PTEN_DN.V1_DN	PTEN_DN.V1_DN		149	0.1471508	0.5734191	0.982906	0.9964189	1.0	3312	tags=23%, list=20%, signal=29%	
SNF5_DN.V1_UP	SNF5_DN.V1_UP		164	0.13938063	0.52996653	0.9877551	0.9929845	1.0	4411	tags=32%, list=26%, signal=42%	
