NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
PRC2_EZH2_UP.V1_DN	192	174		
PRC2_EZH2_UP.V1_UP	192	185		
PRC2_SUZ12_UP.V1_DN	191	156		
PRC2_SUZ12_UP.V1_UP	185	165		
PTEN_DN.V1_DN	184	149		
PTEN_DN.V1_UP	186	157		
PTEN_DN.V2_DN	143	133		
PTEN_DN.V2_UP	140	123		
RAF_UP.V1_DN	193	190		
RAF_UP.V1_UP	193	191		
RAPA_EARLY_UP.V1_DN	186	167		
RAPA_EARLY_UP.V1_UP	167	149		
RB_DN.V1_DN	123	117		
RB_DN.V1_UP	116	114		
RB_P107_DN.V1_DN	127	125		
RB_P107_DN.V1_UP	130	126		
RB_P130_DN.V1_DN	136	133		
RB_P130_DN.V1_UP	132	120		
RELA_DN.V1_DN	139	118		
RELA_DN.V1_UP	149	134		
RPS14_DN.V1_DN	186	182		
RPS14_DN.V1_UP	191	183		
SINGH_KRAS_DEPENDENCY_SIGNATURE	20	20		
SIRNA_EIF4GI_DN	98	90		
SIRNA_EIF4GI_UP	95	93		
SNF5_DN.V1_DN	157	142		
SNF5_DN.V1_UP	173	164		
SRC_UP.V1_DN	170	156		
SRC_UP.V1_UP	178	142		
STK33_DN	280	268		
STK33_NOMO_DN	282	269		
STK33_NOMO_UP	290	284		
STK33_SKM_DN	276	253		
STK33_SKM_UP	278	262		
STK33_UP	286	277		
TBK1.DF_DN	286	284		
TBK1.DF_UP	287	284		
TBK1.DN.48HRS_DN	50	50		
TBK1.DN.48HRS_UP	50	50		
TGFB_UP.V1_DN	191	177		
TGFB_UP.V1_UP	189	182		
VEGF_A_UP.V1_DN	193	192		
VEGF_A_UP.V1_UP	195	184		
WNT_UP.V1_DN	171	153		
WNT_UP.V1_UP	175	151		
YAP1_DN	46	36		
YAP1_UP	47	45		
