NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
AKT_UP.V1_DN	187	181		
AKT_UP.V1_UP	169	160		
AKT_UP_MTOR_DN.V1_DN	186	179		
AKT_UP_MTOR_DN.V1_UP	178	169		
ALK_DN.V1_DN	139	115		
ALK_DN.V1_UP	141	118		
ATF2_S_UP.V1_DN	187	177		
ATF2_S_UP.V1_UP	193	169		
ATF2_UP.V1_DN	185	179		
ATF2_UP.V1_UP	190	161		
ATM_DN.V1_DN	146	113		
ATM_DN.V1_UP	146	118		
BCAT.100_UP.V1_DN	41	31		
BCAT.100_UP.V1_UP	49	46		
BCAT_BILD_ET_AL_DN	46	45		
BCAT_BILD_ET_AL_UP	45	44		
BCAT_GDS748_DN	45	41		
BCAT_GDS748_UP	48	45		
BMI1_DN.V1_DN	140	130		
BMI1_DN.V1_UP	147	142		
BMI1_DN_MEL18_DN.V1_DN	147	142		
BMI1_DN_MEL18_DN.V1_UP	145	139		
BRCA1_DN.V1_DN	139	115		
BRCA1_DN.V1_UP	134	95		
CAHOY_ASTROCYTIC	100	92		
CAHOY_ASTROGLIAL	100	97		
CAHOY_NEURONAL	100	89		
CAHOY_OLIGODENDROCUTIC	100	94		
CAMP_UP.V1_DN	199	196		
CAMP_UP.V1_UP	200	199		
CORDENONSI_YAP_CONSERVED_SIGNATURE	57	57		
CRX_DN.V1_DN	132	123		
CRX_DN.V1_UP	135	122		
CRX_NRL_DN.V1_DN	126	113		
CRX_NRL_DN.V1_UP	140	130		
CSR_EARLY_UP.V1_DN	126	124		
CSR_EARLY_UP.V1_UP	153	150		
CSR_LATE_UP.V1_DN	147	145		
CSR_LATE_UP.V1_UP	166	159		
CTIP_DN.V1_DN	134	114		
CTIP_DN.V1_UP	135	109		
CYCLIN_D1_KE_.V1_DN	191	167		
CYCLIN_D1_KE_.V1_UP	188	174		
CYCLIN_D1_UP.V1_DN	190	176		
CYCLIN_D1_UP.V1_UP	187	169		
DCA_UP.V1_DN	185	164		
DCA_UP.V1_UP	187	145		
E2F1_UP.V1_DN	187	184		
E2F1_UP.V1_UP	188	184		
E2F3_UP.V1_DN	163	142		
E2F3_UP.V1_UP	190	178		
EGFR_UP.V1_DN	196	192		
EGFR_UP.V1_UP	192	192		
EIF4E_DN	100	99		
EIF4E_UP	100	92		
ERBB2_UP.V1_DN	197	197		
ERBB2_UP.V1_UP	190	189		
ESC_J1_UP_EARLY.V1_DN	172	165		
ESC_J1_UP_EARLY.V1_UP	178	164		
ESC_J1_UP_LATE.V1_DN	168	161		
ESC_J1_UP_LATE.V1_UP	186	172		
ESC_V6.5_UP_EARLY.V1_DN	162	156		
ESC_V6.5_UP_EARLY.V1_UP	166	149		
ESC_V6.5_UP_LATE.V1_DN	179	169		
ESC_V6.5_UP_LATE.V1_UP	184	174		
GCNP_SHH_UP_EARLY.V1_DN	167	155		
GCNP_SHH_UP_EARLY.V1_UP	173	164		
GCNP_SHH_UP_LATE.V1_DN	178	165		
GCNP_SHH_UP_LATE.V1_UP	181	177		
GLI1_UP.V1_DN	17	17		
GLI1_UP.V1_UP	24	24		
HINATA_NFKB_IMMU_INF	15	15		
HINATA_NFKB_MATRIX	11		Rejected!	
HOXA9_DN.V1_DN	190	186		
HOXA9_DN.V1_UP	192	190		
IL15_UP.V1_DN	185	154		
IL15_UP.V1_UP	189	166		
IL21_UP.V1_DN	187	147		
IL21_UP.V1_UP	186	161		
IL2_UP.V1_DN	192	173		
IL2_UP.V1_UP	190	171		
JAK2_DN.V1_DN	147	134		
JAK2_DN.V1_UP	184	142		
JNK_DN.V1_DN	190	162		
JNK_DN.V1_UP	186	166		
KRAS.300_UP.V1_DN	141	122		
KRAS.300_UP.V1_UP	143	129		
KRAS.50_UP.V1_DN	48	41		
KRAS.50_UP.V1_UP	48	47		
KRAS.600.LUNG.BREAST_UP.V1_DN	285	233		
KRAS.600.LUNG.BREAST_UP.V1_UP	280	228		
KRAS.600_UP.V1_DN	280	230		
KRAS.600_UP.V1_UP	279	243		
KRAS.AMP.LUNG_UP.V1_DN	142	118		
KRAS.AMP.LUNG_UP.V1_UP	140	107		
KRAS.BREAST_UP.V1_DN	143	119		
KRAS.BREAST_UP.V1_UP	140	109		
KRAS.DF.V1_DN	193	174		
KRAS.DF.V1_UP	191	191		
KRAS.KIDNEY_UP.V1_DN	135	110		
KRAS.KIDNEY_UP.V1_UP	140	131		
KRAS.LUNG.BREAST_UP.V1_DN	142	116		
KRAS.LUNG.BREAST_UP.V1_UP	140	119		
KRAS.LUNG_UP.V1_DN	143	115		
KRAS.LUNG_UP.V1_UP	140	114		
KRAS.PROSTATE_UP.V1_DN	140	116		
KRAS.PROSTATE_UP.V1_UP	137	119		
LEF1_UP.V1_DN	187	183		
LEF1_UP.V1_UP	194	186		
LTE2_UP.V1_DN	195	193		
LTE2_UP.V1_UP	188	186		
MEK_UP.V1_DN	194	189		
MEK_UP.V1_UP	195	194		
MEL18_DN.V1_DN	147	143		
MEL18_DN.V1_UP	141	140		
MTOR_UP.N4.V1_DN	184	181		
MTOR_UP.N4.V1_UP	196	192		
MTOR_UP.V1_DN	182	175		
MTOR_UP.V1_UP	170	156		
MYC_UP.V1_DN	172	156		
MYC_UP.V1_UP	181	170		
NFE2L2.V2	469	383		
NOTCH_DN.V1_DN	183	149		
NOTCH_DN.V1_UP	186	162		
NRL_DN.V1_DN	132	121		
NRL_DN.V1_UP	137	128		
P53_DN.V1_DN	194	190		
P53_DN.V1_UP	194	190		
P53_DN.V2_DN	145	127		
P53_DN.V2_UP	148	119		
PDGF_ERK_DN.V1_DN	149	143		
PDGF_ERK_DN.V1_UP	145	129		
PDGF_UP.V1_DN	135	111		
PDGF_UP.V1_UP	146	138		
PGF_UP.V1_DN	191	163		
PGF_UP.V1_UP	190	188		
PKCA_DN.V1_DN	154	137		
PKCA_DN.V1_UP	159	139		
PRC1_BMI_UP.V1_DN	187	149		
PRC1_BMI_UP.V1_UP	185	163		
PRC2_EED_DN.V1_DN	193	189		
PRC2_EED_DN.V1_UP	191	170		
