NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RB_P130_DN.V1_UP	RB_P130_DN.V1_UP		120	0.2040837	0.8045943	0.7463768	0.98509616	1.0	3871	tags=31%, list=23%, signal=40%	
HOXA9_DN.V1_UP	HOXA9_DN.V1_UP		190	0.21663244	0.7967929	0.6802444	0.97948146	1.0	1254	tags=14%, list=7%, signal=15%	
TBK1.DF_UP	TBK1.DF_UP		284	0.16774383	0.76557994	0.88539326	1.0	1.0	3328	tags=24%, list=20%, signal=29%	
ATF2_S_UP.V1_DN	ATF2_S_UP.V1_DN		177	0.17332338	0.754341	0.872449	1.0	1.0	3722	tags=30%, list=22%, signal=38%	
MYC_UP.V1_DN	MYC_UP.V1_DN		156	0.1687875	0.743621	0.9187817	1.0	1.0	1534	tags=13%, list=9%, signal=15%	
CAHOY_ASTROCYTIC	CAHOY_ASTROCYTIC		92	0.16320716	0.70304525	0.9575071	1.0	1.0	4019	tags=28%, list=24%, signal=37%	
PDGF_UP.V1_UP	PDGF_UP.V1_UP		138	0.15134266	0.6821912	0.9704546	1.0	1.0	2017	tags=15%, list=12%, signal=17%	
STK33_SKM_UP	STK33_SKM_UP		262	0.17803998	0.66592205	0.9116998	1.0	1.0	2942	tags=21%, list=17%, signal=25%	
KRAS.300_UP.V1_DN	KRAS.300_UP.V1_DN		122	0.14377241	0.6545904	0.975945	1.0	1.0	3886	tags=27%, list=23%, signal=35%	
STK33_NOMO_UP	STK33_NOMO_UP		284	0.17162292	0.6429317	0.89352816	1.0	1.0	3658	tags=26%, list=22%, signal=32%	
MTOR_UP.N4.V1_UP	MTOR_UP.N4.V1_UP		192	0.13818821	0.62735885	0.9864865	1.0	1.0	2958	tags=19%, list=17%, signal=22%	
PRC2_EED_DN.V1_DN	PRC2_EED_DN.V1_DN		189	0.1612501	0.6206127	0.9472477	1.0	1.0	3318	tags=22%, list=20%, signal=27%	
STK33_UP	STK33_UP		277	0.16655785	0.61781627	0.9152174	0.98538476	1.0	2125	tags=16%, list=13%, signal=18%	
CSR_LATE_UP.V1_UP	CSR_LATE_UP.V1_UP		159	0.14568363	0.5039282	0.98122066	0.9953246	1.0	4304	tags=30%, list=25%, signal=40%	
