NAME	TITLE	SCORE	
ACAD11	acyl-CoA dehydrogenase family member 11 [Source:HGNC Symbol;Acc:HGNC:30211]	0.2377721	
DNAH3	dynein axonemal heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:2949]	0.23672612	
HPDL	4-hydroxyphenylpyruvate dioxygenase like [Source:HGNC Symbol;Acc:HGNC:28242]	0.23628366	
GOLGA6L10	golgin A6 family like 10 [Source:HGNC Symbol;Acc:HGNC:37228]	0.23578417	
LGR5	leucine rich repeat containing G protein-coupled receptor 5 [Source:HGNC Symbol;Acc:HGNC:4504]	0.2352481	
GORAB	golgin, RAB6 interacting [Source:HGNC Symbol;Acc:HGNC:25676]	0.23472081	
LUC7L3	LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309]	0.2346576	
N4BP1	NEDD4 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29850]	0.23443122	
ZMYM2	zinc finger MYM-type containing 2 [Source:HGNC Symbol;Acc:HGNC:12989]	0.23361099	
MACC1	MET transcriptional regulator MACC1 [Source:HGNC Symbol;Acc:HGNC:30215]	0.23356003	
TAS2R4	taste 2 receptor member 4 [Source:HGNC Symbol;Acc:HGNC:14911]	0.23191506	
DYNLT2	dynein light chain Tctex-type 2 [Source:HGNC Symbol;Acc:HGNC:11695]	0.23149766	
ABCA7	ATP binding cassette subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:37]	0.23096602	
CCNL1	cyclin L1 [Source:HGNC Symbol;Acc:HGNC:20569]	0.23083925	
SEMA4C	semaphorin 4C [Source:HGNC Symbol;Acc:HGNC:10731]	0.23051108	
RNMT	RNA guanine-7 methyltransferase [Source:HGNC Symbol;Acc:HGNC:10075]	0.22907755	
PMS2CL	PMS2 C-terminal like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:30061]	0.22896606	
L3HYPDH	trans-L-3-hydroxyproline dehydratase [Source:HGNC Symbol;Acc:HGNC:20488]	0.22886257	
FRS3	fibroblast growth factor receptor substrate 3 [Source:HGNC Symbol;Acc:HGNC:16970]	0.22868292	
NKIRAS2	NFKB inhibitor interacting Ras like 2 [Source:HGNC Symbol;Acc:HGNC:17898]	0.228438	
SAXO4	stabilizer of axonemal microtubules 4 [Source:HGNC Symbol;Acc:HGNC:28869]	0.22814162	
HOXA6	homeobox A6 [Source:HGNC Symbol;Acc:HGNC:5107]	0.22791263	
LINC00623	long intergenic non-protein coding RNA 623 [Source:HGNC Symbol;Acc:HGNC:44252]	0.2277927	
METTL22	methyltransferase 22, Kin17 lysine [Source:HGNC Symbol;Acc:HGNC:28368]	0.22770204	
TBC1D3B	TBC1 domain family member 3B [Source:HGNC Symbol;Acc:HGNC:27011]	0.22723268	
MAP3K14-AS1	MAP3K14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44359]	0.2272026	
HOXA11-AS	HOXA11 antisense RNA [Source:HGNC Symbol;Acc:HGNC:24957]	0.22676438	
STK36	serine/threonine kinase 36 [Source:HGNC Symbol;Acc:HGNC:17209]	0.22633445	
EGLN3	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	0.22606857	
TRIM34	tripartite motif containing 34 [Source:HGNC Symbol;Acc:HGNC:10063]	0.2255246	
TIA1	TIA1 cytotoxic granule associated RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11802]	0.22449109	
ZEB1-AS1	ZEB1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:42354]	0.22442468	
NAA80	N-alpha-acetyltransferase 80, NatH catalytic subunit [Source:HGNC Symbol;Acc:HGNC:30252]	0.22439986	
GPR152	G protein-coupled receptor 152 [Source:HGNC Symbol;Acc:HGNC:23622]	0.22425081	
N4BP2L2-IT2	N4BPL2 intronic transcript 2 [Source:HGNC Symbol;Acc:HGNC:25038]	0.22415026	
ZMYM5	zinc finger MYM-type containing 5 [Source:HGNC Symbol;Acc:HGNC:13029]	0.2239713	
RRP7BP	ribosomal RNA processing 7 homolog B, pseudogene [Source:HGNC Symbol;Acc:HGNC:30454]	0.22386219	
CCDC191	coiled-coil domain containing 191 [Source:HGNC Symbol;Acc:HGNC:29272]	0.22330011	
CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	0.2232918	
NBPF15	NBPF member 15 [Source:HGNC Symbol;Acc:HGNC:28791]	0.22314383	
DNAJB13	DnaJ heat shock protein family (Hsp40) member B13 [Source:HGNC Symbol;Acc:HGNC:30718]	0.22288771	
FAM210A	family with sequence similarity 210 member A [Source:HGNC Symbol;Acc:HGNC:28346]	0.22195457	
KDM3A	lysine demethylase 3A [Source:HGNC Symbol;Acc:HGNC:20815]	0.22157201	
PCDHGA7	protocadherin gamma subfamily A, 7 [Source:HGNC Symbol;Acc:HGNC:8705]	0.22146922	
ING4	inhibitor of growth family member 4 [Source:HGNC Symbol;Acc:HGNC:19423]	0.2214217	
CACNB1	calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]	0.2213938	
ALOX15B	arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]	0.22095689	
IL1RAPL2	interleukin 1 receptor accessory protein like 2 [Source:HGNC Symbol;Acc:HGNC:5997]	0.22092955	
IP6K2	inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:17313]	0.22091752	
LINC02591	long intergenic non-protein coding RNA 2591 [Source:HGNC Symbol;Acc:HGNC:53901]	0.22087142	
STEAP3	STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592]	0.21992205	
BTBD19	BTB domain containing 19 [Source:HGNC Symbol;Acc:HGNC:27145]	0.21985132	
DPRXP4	divergent-paired related homeobox pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:32170]	0.21937318	
HOXA10	homeobox A10 [Source:HGNC Symbol;Acc:HGNC:5100]	0.21914221	
DBF4B	DBF4B-CDC7 kinase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:17883]	0.21889353	
UCN2	urocortin 2 [Source:HGNC Symbol;Acc:HGNC:18414]	0.21866897	
RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	0.21853775	
CPA6	carboxypeptidase A6 [Source:HGNC Symbol;Acc:HGNC:17245]	0.21805003	
STK38L	serine/threonine kinase 38 like [Source:HGNC Symbol;Acc:HGNC:17848]	0.21780117	
TRAPPC2	trafficking protein particle complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:23068]	0.2177094	
ZBTB1	zinc finger and BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20259]	0.21756445	
GUCY1B2	guanylate cyclase 1 soluble subunit beta 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4686]	0.21733749	
FAM86HP	family with sequence similarity 86 member H, pseudogene [Source:HGNC Symbol;Acc:HGNC:42359]	0.21718708	
TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	0.21711639	
COLQ	collagen like tail subunit of asymmetric acetylcholinesterase [Source:HGNC Symbol;Acc:HGNC:2226]	0.21699296	
GTPBP2	GTP binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4670]	0.21697566	
