NAME	TITLE	SCORE	
PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma [Source:HGNC Symbol;Acc:HGNC:9311]	0.37939274	
ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	0.36122617	
NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	0.35832983	
L3MBTL3	L3MBTL histone methyl-lysine binding protein 3 [Source:HGNC Symbol;Acc:HGNC:23035]	0.33986917	
NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	0.32173035	
AMN1	antagonist of mitotic exit network 1 homolog [Source:HGNC Symbol;Acc:HGNC:27281]	0.3207465	
CSDE1	cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]	0.31439653	
TMEM167B	transmembrane protein 167B [Source:HGNC Symbol;Acc:HGNC:30187]	0.3131605	
TSPAN5	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]	0.31136796	
GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	0.3091643	
GTDC1	glycosyltransferase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20887]	0.30715582	
PLS3	plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091]	0.30644563	
ZNF460	zinc finger protein 460 [Source:HGNC Symbol;Acc:HGNC:21628]	0.30543655	
MAML2	mastermind like transcriptional coactivator 2 [Source:HGNC Symbol;Acc:HGNC:16259]	0.30014777	
RAB2A	RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9763]	0.29778808	
PDK3	pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811]	0.2962835	
TSC22D2	TSC22 domain family member 2 [Source:HGNC Symbol;Acc:HGNC:29095]	0.2945499	
CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	0.29447109	
ZNF134	zinc finger protein 134 [Source:HGNC Symbol;Acc:HGNC:12918]	0.2937302	
PPP3CA	protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314]	0.29023042	
LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	0.2884898	
GRAMD2B	GRAM domain containing 2B [Source:HGNC Symbol;Acc:HGNC:24911]	0.28782356	
DIRC3	disrupted in renal carcinoma 3 [Source:HGNC Symbol;Acc:HGNC:17805]	0.28673366	
EDIL3	EGF like repeats and discoidin domains 3 [Source:HGNC Symbol;Acc:HGNC:3173]	0.28583896	
TMEM123	transmembrane protein 123 [Source:HGNC Symbol;Acc:HGNC:30138]	0.28279242	
SNAPC1	small nuclear RNA activating complex polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:11134]	0.28166553	
VASN	vasorin [Source:HGNC Symbol;Acc:HGNC:18517]	0.2815348	
