NAME	TITLE	SCORE	
RAB26	RAB26, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14259]	0.2322653	
ATP6V0E2-AS1	ATP6V0E2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44180]	0.23204787	
CLUH	clustered mitochondria homolog [Source:HGNC Symbol;Acc:HGNC:29094]	0.23143677	
CARTPT	CART prepropeptide [Source:HGNC Symbol;Acc:HGNC:24323]	0.23142442	
GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2 [Source:HGNC Symbol;Acc:HGNC:4087]	0.2300936	
FAM222A	family with sequence similarity 222 member A [Source:HGNC Symbol;Acc:HGNC:25915]	0.22972299	
ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [Source:HGNC Symbol;Acc:HGNC:13717]	0.22938888	
ZNF664	zinc finger protein 664 [Source:HGNC Symbol;Acc:HGNC:25406]	0.22918667	
PIRT	phosphoinositide interacting regulator of transient receptor potential channels [Source:HGNC Symbol;Acc:HGNC:37239]	0.229095	
SLC13A2	solute carrier family 13 member 2 [Source:HGNC Symbol;Acc:HGNC:10917]	0.22874166	
HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:4801]	0.22860433	
ACP1	acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]	0.22841895	
ABCA3	ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]	0.22835305	
NEURL1	neuralized E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:7761]	0.22813644	
NLRP11	NLR family pyrin domain containing 11 [Source:HGNC Symbol;Acc:HGNC:22945]	0.22745508	
ATP1A3	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	0.22743045	
FLRT1	fibronectin leucine rich transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3760]	0.22638014	
STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	0.22623453	
CPT1A	carnitine palmitoyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:2328]	0.2259308	
TAF5	TATA-box binding protein associated factor 5 [Source:HGNC Symbol;Acc:HGNC:11539]	0.2257503	
SLC25A20	solute carrier family 25 member 20 [Source:HGNC Symbol;Acc:HGNC:1421]	0.2256557	
MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]	0.22561584	
KRT20	keratin 20 [Source:HGNC Symbol;Acc:HGNC:20412]	0.22556812	
MRPL35	mitochondrial ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:14489]	0.22547609	
CDX2	caudal type homeobox 2 [Source:HGNC Symbol;Acc:HGNC:1806]	0.2249825	
MMAB	metabolism of cobalamin associated B [Source:HGNC Symbol;Acc:HGNC:19331]	0.22414263	
AIFM1	apoptosis inducing factor mitochondria associated 1 [Source:HGNC Symbol;Acc:HGNC:8768]	0.22401994	
DLX1	distal-less homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2914]	0.22379114	
CRISP3	cysteine rich secretory protein 3 [Source:HGNC Symbol;Acc:HGNC:16904]	0.22281803	
ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	0.2224217	
EPB41L4B	erythrocyte membrane protein band 4.1 like 4B [Source:HGNC Symbol;Acc:HGNC:19818]	0.2220926	
LINC00242	long intergenic non-protein coding RNA 242 [Source:HGNC Symbol;Acc:HGNC:21249]	0.22181225	
PPP2R1B	protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303]	0.22167386	
INTS9	integrator complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:25592]	0.22121307	
SOX10	SRY-box transcription factor 10 [Source:HGNC Symbol;Acc:HGNC:11190]	0.22119544	
ATP6V1E2	ATPase H+ transporting V1 subunit E2 [Source:HGNC Symbol;Acc:HGNC:18125]	0.22099175	
LINC00930	long intergenic non-protein coding RNA 930 [Source:HGNC Symbol;Acc:HGNC:48620]	0.22088586	
GTF2E2	general transcription factor IIE subunit 2 [Source:HGNC Symbol;Acc:HGNC:4651]	0.22065347	
DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	0.22048503	
LINC03062	long intergenic non-protein coding RNA 3062 [Source:HGNC Symbol;Acc:HGNC:56369]	0.22034489	
BEX1	brain expressed X-linked 1 [Source:HGNC Symbol;Acc:HGNC:1036]	0.22016206	
DAPL1	death associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:21490]	0.21973698	
TUSC3	tumor suppressor candidate 3 [Source:HGNC Symbol;Acc:HGNC:30242]	0.21954666	
C1QBP	complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243]	0.21941794	
TFF3	trefoil factor 3 [Source:HGNC Symbol;Acc:HGNC:11757]	0.21931149	
PTGDR2	prostaglandin D2 receptor 2 [Source:HGNC Symbol;Acc:HGNC:4502]	0.2193061	
SLC25A27	solute carrier family 25 member 27 [Source:HGNC Symbol;Acc:HGNC:21065]	0.21916187	
SFXN4	sideroflexin 4 [Source:HGNC Symbol;Acc:HGNC:16088]	0.21909486	
