NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MTOR_UP.N4.V1_UP	MTOR_UP.N4.V1_UP		192	0.21460369	0.9515537	0.49445677	0.7308623	1.0	4158	tags=27%, list=25%, signal=35%	
KRAS.LUNG.BREAST_UP.V1_DN	KRAS.LUNG.BREAST_UP.V1_DN		116	0.21973825	0.92818785	0.6021798	0.7833444	1.0	3348	tags=26%, list=20%, signal=32%	
ERBB2_UP.V1_DN	ERBB2_UP.V1_DN		197	0.26237896	0.92391723	0.53305787	0.785132	1.0	4554	tags=34%, list=27%, signal=45%	
BCAT.100_UP.V1_DN	BCAT.100_UP.V1_DN		31	0.24377519	0.90298176	0.6210762	0.82873607	1.0	2118	tags=23%, list=13%, signal=26%	
ATF2_UP.V1_DN	ATF2_UP.V1_DN		179	0.21483032	0.89939505	0.58956915	0.82863754	1.0	4409	tags=32%, list=26%, signal=43%	
ALK_DN.V1_DN	ALK_DN.V1_DN		115	0.20231907	0.8915439	0.6751412	0.8388335	1.0	3537	tags=21%, list=21%, signal=26%	
AKT_UP.V1_DN	AKT_UP.V1_DN		181	0.20743018	0.8853038	0.60092807	0.8451504	1.0	4204	tags=33%, list=25%, signal=44%	
NOTCH_DN.V1_DN	NOTCH_DN.V1_DN		149	0.19755135	0.8830144	0.6897436	0.84114397	1.0	4560	tags=30%, list=27%, signal=40%	
KRAS.PROSTATE_UP.V1_DN	KRAS.PROSTATE_UP.V1_DN		116	0.20270276	0.87186354	0.71389645	0.85973436	1.0	4469	tags=28%, list=26%, signal=37%	
EGFR_UP.V1_DN	EGFR_UP.V1_DN		192	0.1924532	0.86010665	0.7119438	0.8773921	1.0	4515	tags=28%, list=27%, signal=38%	
CRX_DN.V1_UP	CRX_DN.V1_UP		122	0.17806023	0.84878653	0.8319328	0.895579	1.0	4078	tags=25%, list=24%, signal=33%	
RAF_UP.V1_DN	RAF_UP.V1_DN		190	0.20413274	0.8395532	0.7196262	0.90662533	1.0	4664	tags=31%, list=28%, signal=42%	
PTEN_DN.V2_UP	PTEN_DN.V2_UP		123	0.20093301	0.836091	0.72131145	0.904581	1.0	3677	tags=29%, list=22%, signal=37%	
RPS14_DN.V1_DN	RPS14_DN.V1_DN		182	0.20904559	0.83496267	0.656682	0.89724356	1.0	4088	tags=25%, list=24%, signal=33%	
GCNP_SHH_UP_EARLY.V1_DN	GCNP_SHH_UP_EARLY.V1_DN		155	0.16856658	0.8267178	0.88063663	0.9061686	1.0	3384	tags=18%, list=20%, signal=22%	
JAK2_DN.V1_DN	JAK2_DN.V1_DN		134	0.21481052	0.82269496	0.6843267	0.90529555	1.0	5391	tags=33%, list=32%, signal=48%	
PKCA_DN.V1_DN	PKCA_DN.V1_DN		137	0.17514123	0.82073015	0.8607595	0.9001855	1.0	1739	tags=12%, list=10%, signal=14%	
ATM_DN.V1_DN	ATM_DN.V1_DN		113	0.1934391	0.81864744	0.77619046	0.89494294	1.0	3049	tags=19%, list=18%, signal=24%	
BRCA1_DN.V1_DN	BRCA1_DN.V1_DN		115	0.18821874	0.8184045	0.7972028	0.88629663	1.0	2788	tags=17%, list=16%, signal=20%	
MTOR_UP.N4.V1_DN	MTOR_UP.N4.V1_DN		181	0.20979817	0.7733575	0.7489362	0.966194	1.0	4587	tags=29%, list=27%, signal=40%	
KRAS.KIDNEY_UP.V1_DN	KRAS.KIDNEY_UP.V1_DN		110	0.18235157	0.76227903	0.8605263	0.9753782	1.0	2709	tags=16%, list=16%, signal=19%	
STK33_SKM_UP	STK33_SKM_UP		262	0.19733855	0.7541835	0.7900433	0.9796453	1.0	3723	tags=26%, list=22%, signal=32%	
PRC2_EZH2_UP.V1_DN	PRC2_EZH2_UP.V1_DN		174	0.17661874	0.74628246	0.82566583	0.9828887	1.0	3343	tags=20%, list=20%, signal=25%	
GCNP_SHH_UP_LATE.V1_UP	GCNP_SHH_UP_LATE.V1_UP		177	0.18095516	0.7158171	0.81183934	1.0	1.0	2786	tags=16%, list=16%, signal=19%	
GLI1_UP.V1_UP	GLI1_UP.V1_UP		24	0.20903037	0.7055815	0.8766234	1.0	1.0	4499	tags=33%, list=27%, signal=45%	
CAMP_UP.V1_DN	CAMP_UP.V1_DN		196	0.174301	0.70313364	0.88286334	1.0	1.0	3123	tags=19%, list=18%, signal=23%	
