NAME	TITLE	SCORE	
ACTR3B	actin related protein 3B [Source:HGNC Symbol;Acc:HGNC:17256]	0.2886658	
ASB4	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]	0.2886396	
GRIK3	glutamate ionotropic receptor kainate type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4581]	0.2883459	
FAM223B	family with sequence similarity 223 member B [Source:HGNC Symbol;Acc:HGNC:34048]	0.2880547	
ASTN1	astrotactin 1 [Source:HGNC Symbol;Acc:HGNC:773]	0.2878965	
JADE1	jade family PHD finger 1 [Source:HGNC Symbol;Acc:HGNC:30027]	0.28746247	
HLF	HLF transcription factor, PAR bZIP family member [Source:HGNC Symbol;Acc:HGNC:4977]	0.2869941	
FREM2	FRAS1 related extracellular matrix 2 [Source:HGNC Symbol;Acc:HGNC:25396]	0.28649816	
CHST9	carbohydrate sulfotransferase 9 [Source:HGNC Symbol;Acc:HGNC:19898]	0.28641456	
GALNT16	polypeptide N-acetylgalactosaminyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:23233]	0.28585747	
CCDC30	coiled-coil domain containing 30 [Source:HGNC Symbol;Acc:HGNC:26103]	0.28519782	
WSCD1	WSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29060]	0.28476277	
WNK3	WNK lysine deficient protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:14543]	0.28445384	
TRPC4	transient receptor potential cation channel subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:12336]	0.2839841	
HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	0.28397444	
HOOK1	hook microtubule tethering protein 1 [Source:HGNC Symbol;Acc:HGNC:19884]	0.28284073	
FGF9	fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]	0.2825502	
CYP4V2	cytochrome P450 family 4 subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:23198]	0.28179932	
SELP	selectin P [Source:HGNC Symbol;Acc:HGNC:10721]	0.281684	
ALMS1P1	ALMS1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29586]	0.2816175	
CYYR1	cysteine and tyrosine rich 1 [Source:HGNC Symbol;Acc:HGNC:16274]	0.28118086	
ATP6V0E2-AS1	ATP6V0E2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44180]	0.28112882	
TTLL7	tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]	0.28079048	
KIF5A	kinesin family member 5A [Source:HGNC Symbol;Acc:HGNC:6323]	0.2802209	
ZNF37A	zinc finger protein 37A [Source:HGNC Symbol;Acc:HGNC:13102]	0.28003255	
RAB3C	RAB3C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30269]	0.2798236	
RXYLT1	ribitol xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:13530]	0.27956837	
VAT1L	vesicle amine transport 1 like [Source:HGNC Symbol;Acc:HGNC:29315]	0.27940676	
EPHA5	EPH receptor A5 [Source:HGNC Symbol;Acc:HGNC:3389]	0.2790898	
FADS1	fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]	0.2787653	
SBSPON	somatomedin B and thrombospondin type 1 domain containing [Source:HGNC Symbol;Acc:HGNC:30362]	0.27857757	
EFR3B	EFR3 homolog B [Source:HGNC Symbol;Acc:HGNC:29155]	0.27849156	
RTN1	reticulon 1 [Source:HGNC Symbol;Acc:HGNC:10467]	0.27838364	
ALG6	ALG6 alpha-1,3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23157]	0.27814776	
